ID;اسم الفرع / المنفذ;نوع المرفق;العنوان;رابط الاتجاهات;خط العرض (Latitude);خط الطول (Longitude)
AZ-UF-BR-0140;سعودي ماركت – ووتر واي;منفذ بيع;22 أ - ذا ووتر واى كومبوند المستثمرين الشمالية, القاهرة الجديدة, داخل دبليو مول - الدور الارضى.;https://goo.gl/maps/PBMyhgdMvvtP4qYL7;30.041347000;31.476860000
AZ-UF-BR-0141;سعودي ماركت-سيتي ستارز;منفذ بيع;شارع عمر ابن الخطاب، سيتي ستارز مول ، مدينة نصر;https://goo.gl/maps/sui4wWBJmfvKeo12A;30.074017800;31.345573000
AZ-UF-BR-0142;سكاى بلازا الشروق;فرع أبو عوف;مدينة الشروق، بوابة 1 طريق مصر الإسماعيلية;https://goo.gl/maps/JEVCiy2TCjcXVQKg7;30.173961700;31.594138200
AZ-UF-BR-0143;سموحة;فرع أبو عوف;شارع ألبرت الاول - امام مستشفى بيت النعمه;https://goo.gl/maps/V4NQAxAZCvQgJ3ir6;31.213890800;29.939617700
AZ-UF-BR-0144;سوبر ماركت Géant;منفذ بيع;محطة شيل اوت الشويفات, بجانب فندق تريومف - التجمع الخامس , القاهرة الجديدة;https://goo.gl/maps/r6HM1SAJ2zmK56Ho7;30.006383800;31.400396300
AZ-UF-BR-0145;سوديك;فرع أبو عوف;اب ويست داون سوديك بافرلي هيلز;https://maps.app.goo.gl/g6WtRytf2zjwr1JF8;30.072910000;30.946447000
AZ-UF-BR-0146;سوريا;فرع أبو عوف;43 شارع سوريا متفرع من شارع جامعة الدول العربيه امام مترو ماركت;https://goo.gl/maps/yheupLtCAqGUW1Aa6;30.052886900;31.196056600
AZ-UF-BR-0147;سي شيل;فرع أبو عوف;قرية سى شيل امام منطقة ملاعب التنس;https://maps.app.goo.gl/XMzmXVfwh279QvAH7;30.992376300;28.693029400
AZ-UF-BR-0148;سي شيل بالا;فرع أبو عوف;داخل قريه سي شيل بالا امام مسجد القريه;https://maps.app.goo.gl/BLkKA2rVZbhvXRtaA;31.020313300;28.580539700
AZ-UF-BR-0149;سيتي ستارز 3;فرع أبو عوف;شارع عمر ابن الخطاب، سيتي ستارز مول , الدور الرابع، مدينة نصر;https://goo.gl/maps/g1iT1qSxeRaWcif26;30.073954500;31.344330700
AZ-UF-BR-0150;سيتي ستارز1;فرع أبو عوف;شارع عمر ابن الخطاب، سيتي ستارز مول , الدور الاول، مدينة نصر;https://goo.gl/maps/g1iT1qSxeRaWcif26;30.073954500;31.344330700
AZ-UF-BR-0151;سيتى سنتر أسكندريه;فرع أبو عوف;سيتى سنتر مول الداون تاون قطاع الطريق الصحراوي;https://goo.gl/maps/yf2NnCoKuCgBrooi6;31.166629500;29.933428400
AZ-UF-BR-0152;سيتي سنتر ألماظة;فرع أبو عوف;مطار الماظة، شيراتون المطار ، القاهرة;https://goo.gl/maps/xzShV5NhMo6VGCfd7;30.081589328;31.364747496
AZ-UF-BR-0153;سيتي سنتر معادى;فرع أبو عوف;الطريق الدائري - بساتين الشرقية - البساتين - القاهرة;https://goo.gl/maps/UhuQfiBRGZyJdbRa9;29.983347300;31.316338600
AZ-UF-BR-0154;شارع ٢٣ يوليو;فرع أبو عوف;شارع ٢٣ يوليو بجوار بيتزا بينو.;https://goo.gl/maps/Bzw13FVkdpxVdTYV6;31.266674000;32.314159400
AZ-UF-BR-0155;شارع البرازيل- الزمالك;فرع أبو عوف;5 شارع البرازيل، الزمالك امام اورانج;https://goo.gl/maps/dztma2e4jg4zdWby5;30.060600000;31.222500000
AZ-UF-BR-0156;شارع شريف;فرع أبو عوف;١٣ شارع شريف وسط البلد بجانب وزاره الأوقاف;https://maps.app.goo.gl/c4VM3P1fJi3FgYu27;30.046672800;31.242250000
AZ-UF-BR-0157;شبرا;فرع أبو عوف;70 شارع شبرا , بين مسرة و روض الفرج.;https://goo.gl/maps/LJ8N6abPWV491AQ99;30.075977100;31.245053800
AZ-UF-BR-0158;شبرا - الخلفاوي;فرع أبو عوف;ميدان الخلفاوي - شبرا - بجوار حواوشي الرفاعي;https://maps.app.goo.gl/j2JBQXNLxcQA9EZa9?g_st=iw;30.097300000;31.245200000
AZ-UF-BR-0159;شبرا 2;فرع أبو عوف;٤١ أ شارع شبرا;https://maps.app.goo.gl/9Had4yBkSaHBG9BD8;30.066153700;31.244955800
AZ-UF-BR-0160;شبرا الخيمه;فرع أبو عوف;الشارع الجديد بجوار بالبن بعد كوبرى مسطرد;https://maps.app.goo.gl/Uey7956bDL8Fy6o78;30.132894500;31.280511900
AZ-UF-BR-0161;شيراتون الغردقة;فرع أبو عوف;مفارق أبو عشره شارع شيراتون امام بنك CIB - شيراتون الغردقة;https://goo.gl/maps/HRHqRQp9cBFoYDCbA;27.214246600;33.840199400
AZ-UF-BR-0162;شيراتون هليوبوليس;فرع أبو عوف;24 شارع سيد زكريا شيراتون امام سلينترو;https://maps.app.goo.gl/NWTWrwyHT5gVJUUU9;30.102913000;31.373616000
AZ-UF-BR-0163;شيل أوت أكتوبر;فرع أبو عوف;بنزينه شيل أوت - الخمايل - محور 26 يوليو - 6 أكتوبر;https://goo.gl/maps/dsCaca8PBDGpRE2q7;30.036936600;31.036351500
AZ-UF-BR-0164;شيل أوت الرحاب;فرع أبو عوف;بنزينه شيل أوت - الرحاب - القاهره الجديده.;https://goo.gl/maps/RWfKL1BueiUhKYEg7;30.072844400;31.474026600
AZ-UF-BR-0165;"شيل اوت الرحاب 3 تاورز""تو جو""";فرع أبو عوف;بنزينه شيل اوت الرحاب امام بوابه ٢٠ الرحاب مبني العباسي جروب;https://maps.app.goo.gl/1paCvGNeRnPTcbAg7;30.076580100;31.503689000
AZ-UF-BR-0166;شيل أوت الشويفات;فرع أبو عوف;مدخل الشويفات - أول مدخل كومبوند الجولف القطاميه - بنزينه شيل أوت.;https://goo.gl/maps/upnXQ4b6jMZZ2RcX6;30.006029300;31.399883700
AZ-UF-BR-0167;صن مول (برايم مارت);منفذ بيع;ميدان الساعه - عبد السلام عارف، المنصورة (قسم 2)، اول المنصورة، محافظة الدقهلية;https://goo.gl/maps/Prf21vaAG8jLW3Be6, Mansoura, Egypt;31.029945100;31.375827600
AZ-UF-BR-0168;طنطا الاستاد;فرع أبو عوف;طنطا شارع الاستاد بجوار براند بلبن;https://maps.app.goo.gl/uDJco2L25xCkomTX9;30.814408500;30.993186900
AZ-UF-BR-0169;طنطا شارع البحر;فرع أبو عوف;شارع البحر-بجوار صيدناوي-قسم اول طنطا-الغربية;https://goo.gl/maps/HX1CihpHzzJsH7Xg9;30.791622100;30.998653700
AZ-UF-BR-0170;طه حسين;فرع أبو عوف;٢ طه حسين أمام اليمامة سنتر بجوار بنك الكويت الوطني.;https://maps.app.goo.gl/Ux8HGCLXh9oNTFrr6;30.065453000;31.220278000
